OBJECTID,AREA,PIN,SUBDIVISIO,LOT,MapAcre,Status,PRICE,LotJoin,LOT_1,MODEL1,MODEL2,MODEL3,MODEL4,MODEL5,MODEL6,MODEL7,MODEL8,MODEL9,MODEL10,MODEL11,MODEL12,MODEL13,MODEL14,MODEL15,MODEL16,MODEL17,MODEL18,MODEL19,MODEL20,MODEL21,MODEL22,MODEL23,AVAILABILI,MODEL_GROU,ET_ID,ET_X,ET_Y,X,Y
1,5109.552,12S02W14DD07600,Santiam Riverfront Estates,1,0.12,AVAILABLE,,1,1,,1146,,2106C,2120C,2137BA,2156,2164A,2199,0,0,21111A,,,22140,22143,0,0,0,0,22153,22155,,Available,Group_1,1,7579243.142,321038.6662,-122.8884675,44.5219922
2,5595.1993,12S02W14DD07700,Santiam Riverfront Estates,2,0.13,AVAILABLE,,2,2,,0,,2106C,2120C,2137BA,0,2164A,0,0,0,21111A,,,0,0,22144,0,0,0,22153,0,,Available,Group_2,2,7579293.789,321058.4233,-122.8882756,44.52205048
3,5768.8097,12S02W14DD07800,Santiam Riverfront Estates,3,0.13,AVAILABLE,,3,3,,0,,2106C,2120C,2137BA,0,2164A,0,0,0,21111A,,,0,0,22144,0,0,0,22153,0,,Available,Group_2,3,7579342.539,321081.3711,-122.8880914,44.52211735
4,5846.6773,12S02W14DD07900,Santiam Riverfront Estates,4,0.13,AVAILABLE,,4,4,,0,,2106C,2120C,2137BA,0,2164A,0,0,0,21111A,,,0,0,22144,0,0,0,22153,0,,Available,Group_2,4,7579390.875,321105.0897,-122.8879088,44.5221863
5,6158.4567,12S02W14DD08400,Santiam Riverfront Estates,9,0.14,AVAILABLE,,9,9,,0,1152,,,,0,2164A,0,0,0,,22134A,22138A,22140,22143,0,22145,22148,22151,0,22155,,Coming Soon,Group_7,5,7579450.704,321327.7364,-122.8877048,44.52280161
6,6058.0881,12S02W14DD08500,Santiam Riverfront Estates,10,0.14,AVAILABLE,,10,10,,0,1152,,,,0,2164A,0,0,0,,22134A,22138A,22140,22143,0,22145,22148,22151,0,22155,,Coming Soon,Group_7,6,7579422.238,321380.5884,-122.8878199,44.52294422
7,6004.7812,12S02W14DD08600,Santiam Riverfront Estates,11,0.14,AVAILABLE,,11,11,,0,1152,,,,0,2164A,0,0,0,,22134A,22138A,22140,22143,0,22145,22148,22151,0,22155,,Coming Soon,Group_7,7,7579394.093,321433.6734,-122.8879337,44.52308749
8,6506.8757,12S02W14DD08900,Santiam Riverfront Estates,14,0.15,AVAILABLE,,14,14,,0,,,,,0,2164A,0,0,0,,22134A,22138A,22140,22143,0,22145,22148,22151,0,22155,,Coming Soon,Group_8,8,7579314.52,321595.5938,-122.8882571,44.52352499
9,6691.1326,12S02W14DD09000,Santiam Riverfront Estates,15,0.15,AVAILABLE,,15,15,,0,,,,,0,2164A,0,0,0,,22134A,22138A,22140,22143,0,22145,22148,22151,0,22155,,Coming Soon,Group_8,9,7579288.349,321649.1248,-122.8883634,44.52366965
10,5822.5416,12S02W14DD09100,Santiam Riverfront Estates,16,0.13,AVAILABLE,,16,16,,0,,,,,0,2164A,0,0,0,,22134A,22138A,22140,22143,0,22145,22148,22151,0,22155,,Coming Soon,Group_8,10,7579254.874,321698.2867,-122.8884973,44.52380173
11,5557.6176,12S02W14DD09800,Santiam Riverfront Estates,23,0.13,AVAILABLE,,23,23,,0,,,,,0,,0,2291,0,21111A,,,0,0,0,0,22148,0,0,0,22162,Coming Soon,Group_13,11,7579081.909,321693.8087,-122.8891597,44.52377542
12,5000.4329,12S02W14DD09900,Santiam Riverfront Estates,24,0.11,AVAILABLE,,24,24,,0,,,2120C,,0,2164A,0,0,0,21111A,,,22140,0,22144,0,22148,0,22153,0,22162,Coming Soon,Group_14,12,7579115.281,321642.8427,-122.889026,44.52363839
13,8596.4086,12S02W14DD10000,Santiam Riverfront Estates,25,0.2,AVAILABLE,,25,25,,0,,,,2137BA,0,,2199,0,0,,,,0,0,0,0,0,0,22153,0,22162,Coming Soon,Group_15,13,7579052.069,321615.1276,-122.8892651,44.52355727
14,8847.8529,12S02W14DD10100,Santiam Riverfront Estates,26,0.2,AVAILABLE,,26,26,,0,,,,2137BA,0,2164A,2199,0,0,21111A,,,22140,22143,22144,0,0,0,22153,0,22162,Coming Soon,Group_16,14,7579061.634,321535.6531,-122.8892195,44.52334014
15,5232.4381,12S02W14DD10200,Santiam Riverfront Estates,27,0.12,AVAILABLE,,27,27,,0,,2106C,2120C,,0,2164A,0,0,0,21111A,,,0,0,22144,0,22148,0,22153,0,22162,Coming Soon,Group_17,15,7579148.379,321571.0567,-122.888891,44.52344425
16,5407.0915,12S02W14DD10300,Santiam Riverfront Estates,28,0.12,AVAILABLE,,28,28,,0,,2106C,2120C,,0,2164A,0,0,21103,21111A,,22138A,22140,0,22144,0,22148,0,22153,0,,Coming Soon,Group_18,16,7579173.932,321522.3543,-122.8887876,44.52331278
17,5453.8082,12S02W14DD11300,Santiam Riverfront Estates,38,0.13,AVAILABLE,,38,38,,0,,2106C,2120C,,0,,0,0,21103,21111A,,22138A,22140,0,22144,0,22148,0,0,0,,Coming Soon,Group_28,17,7579281.612,321314.6024,-122.8883513,44.52275189
18,5475.4551,12S02W14DD11500,Santiam Riverfront Estates,40,0.13,AVAILABLE,,40,40,,0,,2106C,2120C,,0,2164A,0,0,21103,21111A,,22138A,22140,0,22144,0,22148,0,22153,0,,Available,Group_29,18,7579281.831,321228.3339,-122.8883407,44.52251538
19,5497.9483,12S02W14DD11600,Santiam Riverfront Estates,41,0.13,AVAILABLE,,41,41,,0,,2106C,2120C,,0,2164A,0,0,21103,21111A,,22138A,22140,0,22144,0,22148,0,22153,0,,Available,Group_29,19,7579231.993,321203.0502,-122.8885289,44.52244201
20,5497.8615,12S02W14DD11700,Santiam Riverfront Estates,42,0.13,AVAILABLE,,42,42,,0,,,,,0,,0,0,21103,,,,0,0,0,0,0,0,0,0,,Available - SPEC,Group_30,20,7579182.053,321177.7145,-122.8887174,44.5223685
21,5062.6027,12S02W14DD12000,Santiam Riverfront Estates,45,0.12,AVAILABLE,,45,45,,0,,,2120C,2137BA,0,2164A,0,0,0,21111A,,,0,0,22144,0,22148,0,22153,0,,Coming Soon,Group_33,21,7579022.503,321137.357,-122.8893243,44.5222449
22,5667.5056,12S02W14DD08000,Santiam Riverfront Estates,5,0.13,AVAILABLE,,5,5,,0,,2106C,2120C,2137BA,0,2164A,0,0,0,21111A,,22138A,22140,0,22144,0,22148,0,0,0,,Available,Group_3,22,7579442.09,321124.3305,-122.8877147,44.52224321
23,5100.922,12S02W14DD11900,Santiam Riverfront Estates,44,0.12,AVAILABLE,,44,44,,0,,,,,0,,0,0,0,,,,0,0,22144,0,0,0,0,0,,Coming Soon,Group_32,23,7579080.874,321130.7083,-122.8890998,44.52223141
24,7068.5782,12S02W14DD08100,Santiam Riverfront Estates,6,0.16,AVAILABLE,,6,6,,0,,2106C,2120C,2137BA,0,2164A,2199,0,21103,21111A,,22138A,22140,22143,0,0,22148,22151,22153,22155,,Available,Group_4,24,7579503.115,321148.9091,-122.8874837,44.52231554
25,5488.0225,12S02W14DD11800,Santiam Riverfront Estates,43,0.13,AVAILABLE,,43,43,,0,,2106C,2120C,,0,2164A,0,0,21103,21111A,,22138A,22140,0,22144,0,22148,0,22153,0,,Available,Group_31,25,7579132.109,321152.4756,-122.8889059,44.52229524
26,7152.0907,12S02W14DD08200,Santiam Riverfront Estates,7,0.16,AVAILABLE,,7,7,,0,,,,,0,2164A,2199,0,0,,,22138A,0,0,0,0,22148,0,22153,22155,,Available,Group_5,26,7579525.339,321214.8006,-122.8874059,44.52249801
27,5861.1897,12S02W14DD11400,Santiam Riverfront Estates,39,0.13,AVAILABLE,,39,39,,0,,2106C,2120C,,0,2164A,0,0,21103,21111A,,22138A,22140,0,22144,0,22148,0,22153,0,,Available,Group_29,27,7579333.146,321254.8985,-122.8881471,44.52259237
28,5511.8159,12S02W14DD11000,Santiam Riverfront Estates,35,0.13,AVAILABLE,,35,35,,0,,,2120C,,0,,0,0,0,,,22138A,0,0,0,0,0,0,22153,0,22162,Coming Soon,Group_25,28,7579155.632,321263.4332,-122.8888284,44.52260138
29,6197.211,12S02W14DD08300,Santiam Riverfront Estates,8,0.14,PENDING,,8,8,,0,,,,,0,2164A,0,2291,0,,22134A,22138A,22140,22143,0,22145,22148,22151,0,22155,,Available,Group_6,29,7579483.088,321276.0701,-122.8875748,44.52266258
30,8109.1505,12S02W14DD10900,Santiam Riverfront Estates,34,0.19,AVAILABLE,,34,34,1103A,0,,2106C,2120C,,0,2164A,0,0,21103,21111A,,22138A,0,0,22144,0,22148,0,22153,0,,Coming Soon,Group_24,30,7579095.963,321254.0925,-122.889056,44.52257093
